,cloudiness,country,date,humidity,lat,lon,maxtemp,wind_speed
94,90,IS,1561605405,100,63.84,-22.43,50,17.22
95,99,GL,1561605405,99,60.14,-45.24,36.77,9.37
96,0,AR,1561605405,47,-26.05,-65.39,43.97,4.41
97,90,US,1561605406,68,60.79,-161.76,68,17.22
98,0,IT,1561605406,73,45.16,10.79,81,4.7
99,0,RU,1561605406,32,67.8,130.41,69.71,2.39
100,10,ID,1561605406,58,0.12,117.47,88.79,4.5
101,40,PT,1561605407,77,37.73,-25.67,62.6,11.41
102,0,RU,1561605407,31,70.62,147.9,67.19,15.48
103,0,BR,1561605407,83,-15.46,-55.75,71.6,3.36
104,30,AU,1561605407,48,-33.64,115.35,57.99,29.59
105,0,ZA,1561605408,97,-34.42,19.24,51.01,1.01
106,75,CA,1561605408,56,43.26,-79.87,75.2,2.24
107,90,US,1561605408,65,19.71,-155.08,82.4,16.11
108,40,ES,1561605409,93,42.77,-9.06,64,1.12
109,75,MU,1561605409,83,-20.41,57.7,75.2,12.75
110,20,CA,1561605409,75,63.75,-68.52,44.6,5.82
111,100,NG,1561605409,99,10.52,7.44,69.53,5.75
112,100,YE,1561605410,60,13.97,44.18,73.13,3.96
113,75,MX,1561605410,79,16.99,-99.26,84.2,3.36
114,40,EG,1561605276,83,31.35,27.25,77,5.82
115,22,TZ,1561605410,70,-6.72,32.06,58.73,5.99
116,75,CN,1561605410,73,24.92,102.47,78.01,17.9
117,90,BR,1561605411,83,-2.54,-57.76,74.75,2.62
118,98,NO,1561605411,81,70.98,25.97,48.2,17.22
119,0,RU,1561605411,72,44.89,37.47,68,8.95
120,40,GR,1561605411,64,39.45,22.34,78.01,1.79
121,80,PT,1561605412,77,38.52,-28.7,64.13,16.13
122,50,PG,1561605412,77,-9.07,143.21,81.23,12.84
123,100,RU,1561605412,54,60.47,166.1,58.37,2.48
124,90,JP,1561605412,100,33.93,134.5,77,20.8
125,0,CL,1561605413,79,-53.16,-70.91,26.6,11.41
126,100,AU,1561605161,77,-17.52,146.03,68,7
127,77,RU,1561605413,44,50.38,90.44,48.83,2.68
128,100,IN,1561605413,64,22.08,85.35,87.89,6.76
129,0,MR,1561605413,39,18.08,-15.98,83.93,11.81
130,1,US,1561605414,88,39.31,-74.98,78.8,6.04
131,0,GL,1561605265,89,72.79,-56.15,33.89,9.28
132,100,RU,1561605142,90,47.15,134.34,57.11,11.34
133,40,CA,1561605414,82,55.74,-97.86,59,2.24
134,0,AO,1561605414,56,-14.66,17.68,49.37,4.03
135,0,EG,1561605415,35,28.42,30.79,77.99,6.33
136,20,CA,1561605415,36,65.28,-126.83,60.8,8.05
137,1,US,1561605475,53,39.95,-94.76,80.6,5.82
138,5,MX,1561605475,78,15.74,-96.47,82.99,4.12
139,0,RU,1561605475,33,71.98,102.47,57.11,7.4
140,0,KZ,1561605476,69,49.74,84.27,61.97,3.91
141,1,US,1561605476,83,39.62,-77.74,78.01,3.36
142,0,NZ,1561605476,54,-46.28,169.85,55.99,11.01
143,40,AU,1561605476,72,-34.58,150.85,66,8.05
144,75,MX,1561605477,78,19.05,-104.32,82.4,8.05
145,0,CA,1561605477,60,49.76,-94.48,73.4,3.36
146,98,GF,1561605270,94,4.94,-52.33,75.2,5.82
147,0,TZ,1561605477,92,-7.91,39.21,67.01,5.53
148,19,PL,1561605478,70,50.64,20.3,75,3
149,75,US,1561605217,93,41.28,-70.1,66,3.51
150,1,US,1561605478,64,47.91,-97.06,77,2.73
151,0,IT,1561605478,88,38.02,12.54,73.99,3.36
152,75,NO,1561605478,86,78.22,15.63,39.2,13.87
153,42,AU,1561605479,56,-25.3,152.85,77,25.28
154,1,US,1561605479,23,64.86,-147.8,78.8,9.17
155,67,PH,1561605479,83,14.19,121.92,81.23,4.74
156,0,IN,1561605479,52,30.78,78.62,45.41,5.3
157,2,ID,1561605480,51,-2.54,115.51,90.05,1.68
158,80,BR,1561605480,58,-20.63,-46,66.65,2.68
159,33,EC,1561605480,90,-0.9,-89.6,72.41,11.21
160,93,AR,1561605480,38,-38.31,-60.23,49.73,20.76
161,49,LY,1561605481,24,26.59,12.77,84.29,8.75
162,0,PF,1561605481,69,-16.48,-151.75,80.69,2.39
163,40,US,1561605481,82,33.75,-118.37,70,11.41
164,90,CA,1561605481,93,50.03,-66.88,55.4,8.05
165,75,CA,1561605481,56,49.72,-86.95,68,8.05
166,0,TR,1561605482,54,36.9,30.69,82.4,8.05
167,9,RU,1561605482,52,58.33,68.13,57.65,5.77
168,90,US,1561605482,82,34.64,-120.46,66,9.17
169,69,RU,1561605482,54,71.97,114.09,57.65,15.86
170,93,AR,1561605482,38,-38.38,-60.28,49.73,20.76
171,0,ID,1561605483,69,0.54,123.06,84.65,11.34
172,0,ZA,1561605483,48,-30.97,22.13,38.75,6.78
173,0,CA,1561605483,87,50.84,-101.7,59.27,4.27
174,88,IS,1561605483,92,64.25,-15.21,44.15,11.74
175,100,RU,1561605484,74,52.51,52.07,57.47,2.33
176,0,FR,1561605484,88,49.65,0.71,64,11.41
177,0,CA,1561605484,45,50.56,-96.99,71.01,5.23
178,20,MG,1561605484,94,-15.72,46.32,68,2.24
179,85,RU,1561605485,93,73.51,80.55,34.07,16.11
180,95,AO,1561605485,79,-6.13,12.37,73.49,12.37
181,90,PG,1561605485,83,-9.47,147.16,82.4,19.46
182,40,IN,1561605485,79,10.57,72.64,84.2,11.41
183,0,KZ,1561605486,34,45.32,55.19,78.71,7.52
